	reviewName	customerReview	hotelReply	customerOverScore	customerDetailScore	customerReviewDetail	hotelName	hotelDesc	hotelFeatures	hotelStart	hotelAddress	usersRating	scoreScaleUserRating
44290	Huu H. N. 	Phòng ngủ rất okie! Buồng phòng dọn dẹp sạch sẽ và kỹ, nhân viên lễ tân ca night khá nhiệt tình và dễ thương!		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Aroma Nha Trang Boutique Hotel	Aroma Nha Trang Boutique Hotel;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Hồ nước nóng Jacuzzi|Khăn tắm biển|Sân thượng/Sân hiên|Phù hợp cho xe lăn	3.5	Lộc Thọ, Nha Trang	8.1	10
148376	Thi T. D. H. 	mình là khách ruột ở đây, vào đây đa phần chỉ ở viễn đông. thật sự với mức giá 700-800k ở khách sạn mặt phố lớn như này thì cũng quá xứng đáng với giá tiền. Lễ tân thân thiện, đặc biệt mấy anh beltman. phòng ngủ rộng rãi, sạch sẽ, dọn phòng cẩn thận. một điểm mình thấy chưa ưng là buffet sáng nghèo nàn món, hôm nào cũng chỉ mấy món như vậy, không có sự đổi mới. 30/4 vừa rùi mình ở 4 ngày ăn sáng như vậy hơi nhàm chán cho khách muốn ở lâu.		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Vien Dong Hotel	Khách sạn Viễn Đông;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Câu lạc bộ sức khoẻ|Mát-xa|Trung tâm thể dục thể hình|Trung tâm thể dục thể hình	3.0	Phạm Ngũ Lão, Thành phố Hồ Chí Minh	8.4	10
115958	Nguyen T. N. H. 	Nội thất gọn gàng sạch sẽ, nhân viên phục vụ tốt, tận tình, hồ bơi thì hơi fail (vì cho người bên ngoài vào dạy bơi ồn ào lộn xộn), Quày Bar sân thượng không có nên chả được chill, đồ ăn sáng hợp khẩu vị nhưng ít món.	{'replyText': 'Kính chào quý khách, \n\nChúng tôi xin chân thành cảm ơn quý khách đã dành thời gian chia sẻ cảm nhận của mình sau kì nghỉ tại khách sạn Mường Thanh Grand Đà Nẵng  \n\nChúng tôi rất vui khi nhận được phản hồi tích cực của quý khách về dịch vụ, cảnh quan cũng như thái độ phục vụ của nhân viên khách sạn. Rất mong lại được chào đón và phục vụ quý khách và gia đình trong kỳ nghỉ tới. \n\nTrân trọng, \nTrương Lan Hương- Giám đốc điều hành\n', 'timestamp': '1653967584636', 'isTranslated': False}	8.8	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '10.0', 'foodScore': '8.0', 'locationScore': '8.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}""}"	Muong Thanh Grand Da Nang Hotel	Muong Thanh Grand Da Nang Hotel;Khách sạn	Quầy bar|Máy sấy quần áo|Sân thượng/Sân hiên|Các tiện nghi văn phòng|Phù hợp cho xe lăn|Quầy bar	4.0	An Hải Tây, Đà Nẵng	8.5	10
35989	Siriphorn C. 	Vị trí tốt và nhân viên rất tốt đẹp.		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': 'Good location and very nice staffs.', 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '0', 'hadReacted': False}}}""}"	Mayflower Hotel Hanoi	Mayflower Hotel Hanoi;Khách sạn	Có miễn phí hủy phòng|Giữ trẻ|Dịch vụ cho thuê xe đạp|Cho thuê xe hơi|Đưa đón sân bay	3.0	Hàng Mã, Quận Hoàn Kiếm	8.8	10
104220	Le N. P. 	Phòng giống hình ảnh giới thiệu, gần biển, có chỗ đậu xe hơi rất tiện lợi	{'replyText': 'Cảm ơn bạn rất nhiều, có một thời gian tốt. Mong được phục vụ bạn một lần nữa.', 'timestamp': '1683191964033', 'isTranslated': True}	9.4	{'cleanlinessScore': '8.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Caroline Beach Vung Tau	Caroline Beach Vung Tau;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng	2.5	Thắng Tam, Bà Rịa - Vũng Tàu	8.4	10
37961	Duyen D. 	Phòng đẹp, nhân viên thân thiện lịch sự	{'replyText': 'Kính chào Chị Duyên,\n\nChân thành cảm ơn quý khách đã chọn Mường Thanh Luxury Khánh Hòa cho kỳ nghỉ của mình tại thành phố biển Nha Trang.\n\nNhững đóng góp quý giá của quý khách đã được ghi nhận và sẽ giúp cho chúng tôi hoàn thiện và nâng cao chất lượng dịch vụ cho khách hàng. Thương hiệu Mường Thanh ngày càng được nhiều khách hàng biết đến và chúng tôi hy vọng được cơ hội tiếp đón quý khách trong những khách sạn thuộc hệ thống Mường Thanh trong tương lai.\n\nChúc quý khách sức khỏe và thành công.\nÔng Nguyễn Mão .Giám đốc\nkhách sạn Mường Thanh Luxury Khánh Hòa', 'timestamp': '1645604252325', 'isTranslated': False}	9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '8.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Muong Thanh Luxury Khanh Hoa	Khách sạn Mường Thanh Luxury Khánh Hòa;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Máy sấy quần áo|Các tiện nghi văn phòng|Phù hợp cho xe lăn|Quầy bar	5.0	Xương Huân, Nha Trang	8.9	10
99886	Tran T. T. V. 	khách sạn sạch đẹp, mình đặt 2 phòng trên 2 app khác nhau, còn nâng hạng phòng cho mình free nữa, nhân viên thân thiện, dễ thương		9.7	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': None, 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Kỳ nghỉ lễ', 'travelPurposeText': 'Kỳ nghỉ lễ', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Imperial Hotel & Spa	Imperial Hotel & Spa;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Sân thượng/Sân hiên|Các tiện nghi văn phòng|Phù hợp cho xe lăn|Quầy bar	4.0	Phường Hàng Trống, Hà Nội	8.8	10
134658	Vu T. M. H. 	Lần nào tới Đà Nẵng cũng ở đây. Phòng sạch sẽ, nhân viên nhiệt tình.		10.0	{'cleanlinessScore': '10.0', 'comfortScore': '10.0', 'serviceScore': '10.0', 'foodScore': '10.0', 'locationScore': '10.0'}	"{'travelThemeDisplayName': 'Chuyến đi ngắn ngày', 'travelPurposeText': 'Chuyến đi ngắn ngày', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '1', 'hadReacted': False}}}""}"	Seahorse Tropical Da Nang Hotel by Haviland	Seahorse Tropical Da Nang Hotel by Haviland;Khách sạn	Có miễn phí hủy phòng|Nhà bếp mini|Các tiện nghi văn phòng	2.5	Hải Châu 1, Quận Hải Châu	9.1	10
34327	Thi Q. T. 	Nhân viên lễ tân rất nhiệt tình Anh bảo vệ ca ngày thì không ok lắm		8.4	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': '6.0', 'locationScore': '8.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '2', 'hadReacted': False}}}""}"	Aluna Ben Thanh Hotel	Aluna Ben Thanh Hotel;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Đưa đón sân bay	3.0	Phường Bến Thành, Quận 1	8.8	10
30204	Mr K. 	phòng sạch sẽ khách sạn nhân viên nhiệt tình		8.5	{'cleanlinessScore': '8.0', 'comfortScore': '8.0', 'serviceScore': '8.0', 'foodScore': None, 'locationScore': '8.0'}	"{'travelThemeDisplayName': '', 'travelPurposeText': '', 'originalReviewText': None, 'reactionSummaries': ""{'reactionSummaryMap': {'LIKE': {'reactionCount': '3', 'hadReacted': False}}}""}"	Ruby Hotel Nha Trang	Ruby Hotel Nha Trang;Khách sạn	Có miễn phí hủy phòng|Thanh toán khi nhận phòng|Trung tâm thể dục thể hình|Đưa đón sân bay	4.0	Vĩnh Nguyên, Khánh Hòa	8.4	10
